,Date,open,high,low,close,adjclose,volume
0,2010-01-04,7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,6.515213966369629,493729600
1,2010-01-05,7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,6.5264763832092285,601904800
2,2010-01-06,7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,6.422664642333984,552160000
3,2010-01-07,7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,6.410789489746094,477131200
4,2010-01-08,7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,6.453411102294922,447610800
5,2010-01-11,7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,6.396482944488525,462229600
6,2010-01-12,7.471070766448975,7.491786003112793,7.372142791748047,7.4185709953308105,6.323721885681152,594459600
7,2010-01-13,7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,6.412922382354736,605892000
8,2010-01-14,7.503929138183594,7.5164289474487305,7.465000152587891,7.479642868041992,6.375781059265137,432894000
9,2010-01-15,7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,6.269229888916016,594067600
10,2010-01-19,7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,6.54656982421875,730007600
11,2010-01-20,7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,6.44580078125,612152800
12,2010-01-21,7.574285984039307,7.618214130401611,7.400356769561768,7.431070804595947,6.334377765655518,608154400
13,2010-01-22,7.385000228881836,7.410714149475098,7.041429042816162,7.0625,6.020200252532959,881767600
14,2010-01-25,7.232500076293945,7.310713768005371,7.1496429443359375,7.252500057220459,6.1821608543396,1065699600
15,2010-01-26,7.3553571701049805,7.632500171661377,7.235000133514404,7.355000019073486,6.269533157348633,1867110000
16,2010-01-27,7.387499809265137,7.520713806152344,7.126070976257324,7.424285888671875,6.328594207763672,1722568400
17,2010-01-28,7.318929195404053,7.339285850524902,7.096428871154785,7.117499828338623,6.067084312438965,1173502400
18,2010-01-29,7.181428909301758,7.221428871154785,6.794642925262451,6.859285831451416,5.846978187561035,1245952400
19,2010-02-01,6.870357036590576,7.0,6.8321428298950195,6.9546427726745605,5.928262233734131,749876400
20,2010-02-02,6.996786117553711,7.0114288330078125,6.906428813934326,6.994999885559082,5.962663650512695,698342400
21,2010-02-03,6.9703569412231445,7.150000095367432,6.943571090698242,7.115356922149658,6.0652570724487305,615328000
22,2010-02-04,7.026071071624756,7.0846428871154785,6.841785907745361,6.85892915725708,5.846673965454102,757652000
23,2010-02-05,6.879642963409424,7.0,6.816071033477783,6.980713844299316,5.950484752655029,850306800
24,2010-02-08,6.98892879486084,7.067142963409424,6.9285712242126465,6.932857036590576,5.909690856933594,478270800
25,2010-02-09,7.014999866485596,7.0535712242126465,6.955357074737549,7.006785869598389,5.972708702087402,632886800
26,2010-02-10,6.996070861816406,7.021429061889648,6.937857151031494,6.968571186065674,5.9401350021362305,370361600
27,2010-02-11,6.960000038146973,7.1339287757873535,6.930714130401611,7.0953569412231445,6.0482096672058105,550345600
28,2010-02-12,7.075356960296631,7.2014288902282715,6.982142925262451,7.156428813934326,6.100268840789795,655468800
29,2010-02-16,7.2121429443359375,7.2746429443359375,7.197143077850342,7.264286041259766,6.192206382751465,543737600
30,2010-02-17,7.292500019073486,7.296785831451416,7.1735711097717285,7.23392915725708,6.166330337524414,436396800
31,2010-02-18,7.201070785522461,7.28178596496582,7.175714015960693,7.247499942779541,6.17789888381958,422825200
